Subj,IP_Address,Inst_Time,Avg_Read_Time,Outcome,Agent,Vignette,Trial,Cause,Counterfactual,Trial_time,Age,Gender,Ethnicity,Education,SES
3,71.176.125.112,12.472,37.76491667,2,1,9,24,7,1,33.021,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,10,12,6,2,42.417,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,2,11,10,6,2,39.604,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,12,7,6,2,72.189,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,13,15,6,2,39.399,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,3,14,8,6,1,45.116,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,15,21,7,2,31.17,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,16,11,6,1,58.533,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,2,17,20,7,1,27.18,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,2,18,14,5,2,63.664,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,2,19,22,7,2,27.061,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,20,6,6,2,34.169,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,21,18,6,1,37.561,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,22,5,7,1,35.111,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,23,2,5,2,40.828,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,1,24,3,5,2,32.491,34,2,5,5,6
4,174.48.10.56,1.938,38.05245833,1,2,1,18,4,2,16.563,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,2,20,4,2,15.155,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,3,13,5,1,60.007,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,4,23,4,2,14.589,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,2,5,4,4,2,30.92,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,6,6,5,2,70.155,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,2,7,24,4,2,26.188,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,2,8,21,4,2,15.544,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,3,9,22,7,1,39.54,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,10,2,4,2,16.039,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,3,11,11,4,1,83.517,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,2,12,19,4,2,15.575,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,13,5,4,2,31.967,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,3,14,16,4,1,6.744,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,2,15,10,4,2,78.535,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,2,16,14,6,1,20.998,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,1,17,17,7,1,21.151,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,3,18,9,5,1,33.066,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,19,8,4,1,26.837,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,2,20,7,7,2,137.495,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,2,21,15,6,1,11.635,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,1,22,1,7,2,34.019,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,1,3,23,3,7,1,30.777,20,2,6,9,6
4,174.48.10.56,1.938,38.05245833,2,2,24,12,4,2,73.733,20,2,6,9,6
5,69.140.34.44,9.93,46.628875,1,1,1,22,1,2,49.775,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,2,2,3,3,1,48.241,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,2,3,12,1,2,35.5,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,1,4,1,2,2,65.083,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,3,5,5,1,2,38.545,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,1,6,23,1,2,47.816,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,2,7,9,2,2,34.411,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,2,8,14,1,2,34.726,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,3,9,21,2,1,94.961,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,2,10,6,3,2,40.635,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,1,11,15,1,2,31.017,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,3,12,11,3,2,43.244,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,2,13,4,1,2,46.779,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,2,14,19,1,2,35.343,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,3,15,20,2,2,39.961,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,1,16,8,5,2,47.683,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,3,17,16,2,2,56.988,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,2,18,18,2,2,42.993,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,3,19,17,5,1,38.214,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,1,20,24,5,2,63.717,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,3,21,10,7,1,57.187,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,2,22,2,1,2,40.824,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,2,1,23,13,5,1,30.286,36,2,5,5,4
5,69.140.34.44,9.93,46.628875,1,3,24,7,1,2,41.69,36,2,5,5,4
6,74.71.105.68,57.154,31.889875,2,1,1,13,7,1,32.369,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,1,2,24,7,1,37.154,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,1,3,19,6,2,27.677,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,1,4,2,7,1,27.334,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,1,5,10,6,2,26.593,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,3,6,9,7,1,29.444,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,3,7,6,7,1,33.704,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,3,8,14,6,2,22.508,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,1,9,12,7,2,30.143,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,1,10,1,7,2,33.125,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,1,11,17,7,1,22.945,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,3,12,8,6,2,24.207,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,2,13,15,6,2,22.566,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,3,14,11,7,1,31.268,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,3,15,22,7,2,25.913,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,3,16,20,7,1,26.482,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,2,17,7,6,2,75.315,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,3,18,3,7,1,31.338,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,1,19,21,7,2,23.211,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,3,20,5,7,1,34.167,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,3,21,16,6,1,51.313,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,1,22,18,7,2,28.021,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,2,2,23,4,2,1,41.256,61,2,5,4,4
6,74.71.105.68,57.154,31.889875,1,2,24,23,6,2,25.667,61,2,5,4,4
7,204.38.4.80,13.175,34.21254167,2,3,1,3,6,1,38.309,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,1,2,4,5,1,35.795,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,1,3,9,6,1,31.235,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,1,4,5,6,1,30.722,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,5,10,5,2,37.245,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,2,6,7,6,2,36.906,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,7,6,6,1,32.016,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,2,8,11,5,2,26.269,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,1,9,13,5,2,28.813,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,10,19,6,1,36.917,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,11,14,6,1,34.684,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,1,12,24,5,2,29.242,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,2,13,23,5,2,34.243,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,14,1,6,1,33.689,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,3,15,15,5,2,27.787,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,16,17,6,1,28.548,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,1,17,16,6,1,25.836,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,2,18,2,3,2,58.189,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,3,19,12,7,1,33.653,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,3,20,22,6,1,35.152,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,2,21,18,6,1,36.201,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,3,22,21,5,1,44.699,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,2,3,23,20,5,1,34.46,37,1,5,5,8
7,204.38.4.80,13.175,34.21254167,1,1,24,8,5,2,29.262,37,1,5,5,8
8,68.103.95.188,9.755,44.29120833,2,2,1,8,7,1,25.042,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,2,15,6,1,23.621,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,3,22,7,2,64.926,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,3,4,21,6,1,37.411,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,2,5,6,2,2,36.365,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,3,6,7,5,2,38.644,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,7,17,7,1,42.115,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,1,8,10,3,2,43.005,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,9,18,7,1,35.735,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,2,10,3,7,1,30.128,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,11,19,7,1,38.491,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,2,12,14,7,1,40.762,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,1,13,20,7,1,59.835,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,2,14,24,7,1,53.556,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,15,2,6,1,77.146,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,3,16,1,6,1,91.569,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,3,17,16,7,1,38.421,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,1,18,4,7,1,28.555,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,2,19,5,2,2,42.205,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,2,20,12,7,2,34.049,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,2,21,23,7,1,26.305,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,2,3,22,9,6,1,29.828,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,23,11,4,1,66.58,49,1,2,5,8
8,68.103.95.188,9.755,44.29120833,1,3,24,13,6,1,52.297,49,1,2,5,8
9,74.46.9.241,16.802,60.32620833,1,3,1,17,6,1,54.638,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,3,2,22,6,1,45.972,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,3,3,13,7,1,57.395,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,2,4,9,7,1,44.97,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,3,5,19,3,2,47.593,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,3,6,15,7,2,56.538,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,2,7,21,6,1,45.826,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,3,8,7,6,2,76.537,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,3,9,14,7,1,46.254,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,1,10,12,6,1,61.656,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,1,11,18,6,1,51.785,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,2,12,5,7,1,69.573,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,3,13,4,7,2,84.335,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,1,14,1,6,1,109.052,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,1,15,11,7,1,84.017,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,2,16,16,2,2,56.859,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,1,17,23,7,2,49.906,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,3,18,6,7,1,46.084,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,2,19,2,6,2,65.058,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,2,20,24,6,2,56.094,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,2,21,3,7,1,83.032,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,2,2,22,20,7,2,42.445,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,1,23,10,6,1,41.223,58,1,5,4,7
9,74.46.9.241,16.802,60.32620833,1,2,24,8,7,2,63.09,58,1,5,4,7
10,184.96.20.167,14.48,38.67833333,1,3,1,22,7,2,54.403,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,2,2,19,5,1,42.874,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,2,3,17,7,1,60.169,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,3,4,8,7,1,34.122,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,2,5,6,5,2,24.433,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,2,6,11,3,2,23.973,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,1,7,12,7,2,27.858,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,3,8,7,6,2,48.584,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,3,9,16,5,1,53.4,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,3,10,3,7,1,38.197,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,2,11,4,5,2,28.065,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,12,24,7,1,35.177,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,13,21,7,1,28.445,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,2,14,5,5,2,48.788,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,1,15,10,3,2,35.969,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,3,16,14,7,1,62.21,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,2,17,18,7,2,24.165,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,18,9,7,1,24.969,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,19,13,7,1,27.086,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,1,1,20,1,7,1,60.958,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,21,2,6,1,46.865,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,22,20,7,1,23.587,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,3,23,15,7,1,41.374,60,2,5,2,8
10,184.96.20.167,14.48,38.67833333,2,1,24,23,7,1,27.418,60,2,5,2,8
11,98.192.26.83,9.626,35.69745833,1,2,1,24,1,1,28.937,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,2,11,7,1,42.482,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,3,1,2,2,45.692,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,4,14,7,1,28.62,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,3,5,4,1,2,35.968,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,6,9,7,1,23.012,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,3,7,19,7,1,36.601,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,2,8,21,1,2,46.767,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,2,9,12,7,1,24.091,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,1,10,20,7,1,29.907,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,3,11,16,7,2,31.029,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,3,12,5,7,2,39.656,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,1,13,2,7,1,26.722,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,2,14,10,1,1,39.656,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,1,15,23,7,1,22.773,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,16,17,7,1,27.036,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,17,22,7,2,52.4,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,3,18,7,7,2,29.565,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,1,19,13,7,1,32.89,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,20,18,7,2,37.967,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,2,21,6,7,1,39.904,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,3,22,3,7,1,34.204,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,1,2,23,8,5,1,52.88,37,2,5,5,8
11,98.192.26.83,9.626,35.69745833,2,2,24,15,1,2,27.95,37,2,5,5,8
12,173.240.137.181,9.487,48.64979167,2,3,1,16,7,1,40.795,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,1,2,4,6,1,67.652,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,1,3,1,6,1,30.567,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,1,4,23,7,1,21.461,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,3,5,19,7,1,79.941,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,1,6,9,7,1,111.752,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,3,7,11,4,1,49.764,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,3,8,8,6,2,52.89,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,2,9,3,7,2,36.664,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,3,10,6,6,1,43.115,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,2,11,14,7,1,33.002,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,1,12,10,7,1,33.149,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,3,13,15,2,2,46.2,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,1,14,18,6,1,42.552,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,2,15,7,4,2,38.14,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,3,16,17,6,1,29.403,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,1,17,12,7,1,53.017,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,3,18,13,5,1,45.005,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,3,19,24,6,2,25.935,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,2,20,2,7,1,54.414,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,1,21,5,6,1,38.621,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,2,3,22,20,6,1,110.064,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,3,23,21,7,1,41.001,29,2,5,4,8
12,173.240.137.181,9.487,48.64979167,1,1,24,22,7,1,40.023,29,2,5,4,8
13,192.158.218.179,18.351,41.84716667,1,2,1,1,5,2,60.883,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,1,2,5,3,2,44.388,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,1,3,14,3,2,37.156,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,1,3,4,18,3,2,37.111,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,1,2,5,19,3,2,27.168,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,1,3,6,21,5,2,35.959,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,1,2,7,3,5,1,44.435,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,3,8,17,3,2,35.761,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,2,9,22,5,2,34.571,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,3,10,15,3,2,41.404,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,3,11,4,6,2,44.808,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,2,2,12,16,5,2,30.408,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,1,3,13,9,3,2,46.34,37,2,5,5,5
13,192.158.218.179,18.351,41.84716667,1,2,14,6,5,2,41.682,37,2,5,5,5
