"subj","condition","cause","vign","knowledge","outcome","norm"
"R_3kp02971JVVc840","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_1NyKhqJUXO4bp6s","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_yxzOHsuSvGtkZnr","MIB",6,13,"Ignorance","Bad Outcome","Morality"
"R_2zoP3J0cHCiesGg","MIB",5,13,"Ignorance","Bad Outcome","Morality"
"R_bmvHIpDeKEtK8Ct","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_3kLqcMug76KzX1f","MIB",4,13,"Ignorance","Bad Outcome","Morality"
"R_3OesKoqEYrnf0Sr","MIB",5,13,"Ignorance","Bad Outcome","Morality"
"R_0fDcI1J6tmbWSNX","MIB",4,13,"Ignorance","Bad Outcome","Morality"
"R_r6bVJxiBs4nFcB3","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_1FkrhjYZRxQqjdb","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_31ivGVbNQs6sqz2","MIB",6,13,"Ignorance","Bad Outcome","Morality"
"R_1rdoxOtIpMbE14a","MIB",5,13,"Ignorance","Bad Outcome","Morality"
"R_33dwpKJwhyNnADX","MIB",4,13,"Ignorance","Bad Outcome","Morality"
"R_2U4R9YVCRv7PyJx","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_2xDAijuFkMHPdoi","MIB",5,13,"Ignorance","Bad Outcome","Morality"
"R_1g0IwzbEJjwNJcd","MIB",2,13,"Ignorance","Bad Outcome","Morality"
"R_3Ed5IerPwhQJPn8","MIB",5,14,"Ignorance","Bad Outcome","Morality"
"R_2X67qOw8iGlfQqf","MIB",1,14,"Ignorance","Bad Outcome","Morality"
"R_sBxLDEtrhuhNhHr","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_3MmM3XBJgTiSVic","MIB",2,14,"Ignorance","Bad Outcome","Morality"
"R_xyK9eEn7VQCIaEV","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_2a9cjKqSNhYEDUJ","MIB",1,14,"Ignorance","Bad Outcome","Morality"
"R_3NxLMGW5vurbIqk","MIB",6,14,"Ignorance","Bad Outcome","Morality"
"R_3IaQV5yvHu8Kxyk","MIB",5,14,"Ignorance","Bad Outcome","Morality"
"R_zSxiX6h0F32Hbix","MIB",6,14,"Ignorance","Bad Outcome","Morality"
"R_uadPIK4wYtfAl7r","MIB",3,14,"Ignorance","Bad Outcome","Morality"
"R_PNyINuWCdwhp6jn","MIB",4,14,"Ignorance","Bad Outcome","Morality"
"R_1NgKUH4AHEmZYzc","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_sRQRy3ihu2Us2AN","MIB",5,14,"Ignorance","Bad Outcome","Morality"
"R_3fQ6dfaer0vxRsM","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_3EAAd5eCI3Wdlp1","MIB",5,14,"Ignorance","Bad Outcome","Morality"
"R_3kLqcMug76KzX1f","MIB",6,14,"Ignorance","Bad Outcome","Morality"
"R_1eQBbr1lnGQjYxo","MIB",4,14,"Ignorance","Bad Outcome","Morality"
"R_pACj46av4J5QKkN","MIB",1,14,"Ignorance","Bad Outcome","Morality"
"R_3gV8b7Tp51omQcF","MIB",1,14,"Ignorance","Bad Outcome","Morality"
"R_1OK1Ea2r111i93j","MIB",5,14,"Ignorance","Bad Outcome","Morality"
"R_1pALeLwV6RZt8Nd","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_1OSPICcw1kOcu8x","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_3m9mguyut5qVssf","MIB",6,14,"Ignorance","Bad Outcome","Morality"
"R_r7q1XXPTW8nQxFf","MIB",2,14,"Ignorance","Bad Outcome","Morality"
"R_3Hwx2ra4pPW9tvd","MIB",5,14,"Ignorance","Bad Outcome","Morality"
"R_bIcyzXOO7YOhjhf","MIB",7,14,"Ignorance","Bad Outcome","Morality"
"R_2QhMoGlC9lopDQi","MIB",2,15,"Ignorance","Bad Outcome","Morality"
"R_sBxLDEtrhuhNhHr","MIB",1,15,"Ignorance","Bad Outcome","Morality"
"R_xz1atBjzqASxMQx","MIB",6,15,"Ignorance","Bad Outcome","Morality"
"R_1gHDsO0nNiXRFFg","MIB",4,15,"Ignorance","Bad Outcome","Morality"
"R_2D6RnFmdYIKLDGY","MIB",5,15,"Ignorance","Bad Outcome","Morality"
"R_3HouVtrG4MHmstv","MIB",6,15,"Ignorance","Bad Outcome","Morality"
"R_2a9cjKqSNhYEDUJ","MIB",2,15,"Ignorance","Bad Outcome","Morality"
"R_pa7PJoJkMI2R1Xb","MIB",1,15,"Ignorance","Bad Outcome","Morality"
"R_C78K8ShmVgH6Ekp","MIB",3,15,"Ignorance","Bad Outcome","Morality"
"R_R9VMB27bkUrh5Dz","MIB",2,15,"Ignorance","Bad Outcome","Morality"
"R_3rNTHDTOZB9ar8l","MIB",5,15,"Ignorance","Bad Outcome","Morality"
"R_3GiYtsszDP6zp4O","MIB",4,15,"Ignorance","Bad Outcome","Morality"
"R_33peqeOkQZuNdyY","MIB",6,15,"Ignorance","Bad Outcome","Morality"
"R_3MalcHq1NNn7AAH","MIB",3,15,"Ignorance","Bad Outcome","Morality"
"R_2azgkYkeDbPTA9w","MIB",4,15,"Ignorance","Bad Outcome","Morality"
"R_1CCkGU6sX8tUFhZ","MIB",6,15,"Ignorance","Bad Outcome","Morality"
"R_dasRi2FWsgVJdZL","MIB",7,15,"Ignorance","Bad Outcome","Morality"
"R_3CJaOFELGTzHaCF","MIB",1,15,"Ignorance","Bad Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIB",1,15,"Ignorance","Bad Outcome","Morality"
"R_2cvLdveHqFapOLD","MIB",4,15,"Ignorance","Bad Outcome","Morality"
"R_1OK1Ea2r111i93j","MIB",6,15,"Ignorance","Bad Outcome","Morality"
"R_1FkrhjYZRxQqjdb","MIB",6,15,"Ignorance","Bad Outcome","Morality"
"R_1Nh6HlaxDGH7Qiz","MIB",5,15,"Ignorance","Bad Outcome","Morality"
"R_2fJvf7yIhJls2DZ","MIB",2,15,"Ignorance","Bad Outcome","Morality"
"R_3MsvDjJ00ZYLBt9","MIB",5,15,"Ignorance","Bad Outcome","Morality"
"R_r7q1XXPTW8nQxFf","MIB",3,15,"Ignorance","Bad Outcome","Morality"
"R_C9bVRuRO9QwhgfT","MIB",4,15,"Ignorance","Bad Outcome","Morality"
"R_3g11yW4pQXOGpPp","MIB",5,16,"Ignorance","Bad Outcome","Morality"
"R_1nOp86S07OpINY5","MIB",4,16,"Ignorance","Bad Outcome","Morality"
"R_2cpVe54vh0S9WZf","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_W7qSRp02JiEp8D7","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_2V8fHzkU1mlywu9","MIB",4,16,"Ignorance","Bad Outcome","Morality"
"R_1OxBc5JRpdsUWJI","MIB",2,16,"Ignorance","Bad Outcome","Morality"
"R_xyK9eEn7VQCIaEV","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_1U1uc4X0ucl9Mat","MIB",5,16,"Ignorance","Bad Outcome","Morality"
"R_aXWWVtQ1sWX7ail","MIB",3,16,"Ignorance","Bad Outcome","Morality"
"R_3iCmGjxhdopXlJt","MIB",3,16,"Ignorance","Bad Outcome","Morality"
"R_1psbDnC86SMKqLF","MIB",3,16,"Ignorance","Bad Outcome","Morality"
"R_ZHTuiqOszhDFxFn","MIB",7,16,"Ignorance","Bad Outcome","Morality"
"R_2v7aWFNvkA7EDQ8","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_yQ2SypcIcQ3bz5T","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_2zoP3J0cHCiesGg","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_bmvHIpDeKEtK8Ct","MIB",7,16,"Ignorance","Bad Outcome","Morality"
"R_Xt9CeQyvKvYkvDz","MIB",3,16,"Ignorance","Bad Outcome","Morality"
"R_1gdq5PPbWdh4hR2","MIB",7,16,"Ignorance","Bad Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_0fDcI1J6tmbWSNX","MIB",2,16,"Ignorance","Bad Outcome","Morality"
"R_rpWlwdtT1VbWMW5","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_1pALeLwV6RZt8Nd","MIB",1,16,"Ignorance","Bad Outcome","Morality"
"R_1qg13sW0PSdwwpT","MIB",5,16,"Ignorance","Bad Outcome","Morality"
"R_1Q64uNkQT3c3SGT","MIB",4,16,"Ignorance","Bad Outcome","Morality"
"R_3CQrBEtZ5lQIpcw","MIB",3,16,"Ignorance","Bad Outcome","Morality"
"R_2Xhdc4njFbGcgew","MIB",2,16,"Ignorance","Bad Outcome","Morality"
"R_12AaHsymVF0r3kD","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_qKmCIe2FmCFNE5P","MIB",3,2,"Ignorance","Bad Outcome","Morality"
"R_2QhMoGlC9lopDQi","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_wLT7EY2Znf0bqoh","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_3IaQV5yvHu8Kxyk","MIB",7,2,"Ignorance","Bad Outcome","Morality"
"R_C78K8ShmVgH6Ekp","MIB",6,2,"Ignorance","Bad Outcome","Morality"
"R_R9VMB27bkUrh5Dz","MIB",3,2,"Ignorance","Bad Outcome","Morality"
"R_uadPIK4wYtfAl7r","MIB",4,2,"Ignorance","Bad Outcome","Morality"
"R_27ydlW4vb3gpoVu","MIB",7,2,"Ignorance","Bad Outcome","Morality"
"R_aXWWVtQ1sWX7ail","MIB",6,2,"Ignorance","Bad Outcome","Morality"
"R_1Gy4qLlgNT8TLyi","MIB",1,2,"Ignorance","Bad Outcome","Morality"
"R_DNtis0P6aD6JcPL","MIB",7,2,"Ignorance","Bad Outcome","Morality"
"R_ZHTuiqOszhDFxFn","MIB",6,2,"Ignorance","Bad Outcome","Morality"
"R_3en13rtohCNzfdm","MIB",4,2,"Ignorance","Bad Outcome","Morality"
"R_1CCkGU6sX8tUFhZ","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MIB",6,2,"Ignorance","Bad Outcome","Morality"
"R_1CBLxsYVIDAFOU0","MIB",4,2,"Ignorance","Bad Outcome","Morality"
"R_suH1bjbj1tHQ2S5","MIB",2,2,"Ignorance","Bad Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIB",1,2,"Ignorance","Bad Outcome","Morality"
"R_2t9Y0p92WF9V0y8","MIB",7,2,"Ignorance","Bad Outcome","Morality"
"R_2sZxty3oPeJquT5","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_1rdoxOtIpMbE14a","MIB",4,2,"Ignorance","Bad Outcome","Morality"
"R_WewcJEbGnNM4e6B","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_3Hwx2ra4pPW9tvd","MIB",5,2,"Ignorance","Bad Outcome","Morality"
"R_1g0IwzbEJjwNJcd","MIB",3,2,"Ignorance","Bad Outcome","Morality"
"R_3mmD4DwZ5jzjlKd","MIB",4,3,"Ignorance","Bad Outcome","Morality"
"R_2TGf9huZmz4U0g9","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_Ab2xg2MwPtJ2uNr","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_30d6TXVvJCWtFF1","MIB",5,3,"Ignorance","Bad Outcome","Morality"
"R_573ddSfN4F8ClSV","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_pa7PJoJkMI2R1Xb","MIB",1,3,"Ignorance","Bad Outcome","Morality"
"R_3IaQV5yvHu8Kxyk","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_2BmTk2b9tDRS4j0","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_1Gy4qLlgNT8TLyi","MIB",2,3,"Ignorance","Bad Outcome","Morality"
"R_1QYrsywNCa55XuV","MIB",1,3,"Ignorance","Bad Outcome","Morality"
"R_3en13rtohCNzfdm","MIB",7,3,"Ignorance","Bad Outcome","Morality"
"R_yQ2SypcIcQ3bz5T","MIB",3,3,"Ignorance","Bad Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MIB",7,3,"Ignorance","Bad Outcome","Morality"
"R_2zT3UUy5D33yoS9","MIB",5,3,"Ignorance","Bad Outcome","Morality"
"R_1CBLxsYVIDAFOU0","MIB",4,3,"Ignorance","Bad Outcome","Morality"
"R_suH1bjbj1tHQ2S5","MIB",7,3,"Ignorance","Bad Outcome","Morality"
"R_3hcDhtRRJvUxHMi","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_1eQBbr1lnGQjYxo","MIB",7,3,"Ignorance","Bad Outcome","Morality"
"R_2TyPGY4bYpdrotX","MIB",7,3,"Ignorance","Bad Outcome","Morality"
"R_27erXg8m0NLzg4G","MIB",7,3,"Ignorance","Bad Outcome","Morality"
"R_2qjuUL2StXvHGf5","MIB",3,3,"Ignorance","Bad Outcome","Morality"
"R_3gV8b7Tp51omQcF","MIB",5,3,"Ignorance","Bad Outcome","Morality"
"R_r6bVJxiBs4nFcB3","MIB",5,3,"Ignorance","Bad Outcome","Morality"
"R_2bUzt3glVBmuTKT","MIB",3,3,"Ignorance","Bad Outcome","Morality"
"R_3im54uYdtSp6K75","MIB",2,3,"Ignorance","Bad Outcome","Morality"
"R_24vLPNyi9ZP5BYI","MIB",4,3,"Ignorance","Bad Outcome","Morality"
"R_2Xhdc4njFbGcgew","MIB",4,3,"Ignorance","Bad Outcome","Morality"
"R_1g0IwzbEJjwNJcd","MIB",6,3,"Ignorance","Bad Outcome","Morality"
"R_2X67qOw8iGlfQqf","MIB",1,4,"Ignorance","Bad Outcome","Morality"
"R_sXamn1JkfIs4AIV","MIB",4,4,"Ignorance","Bad Outcome","Morality"
"R_0VNNCVZCualoZmV","MIB",5,4,"Ignorance","Bad Outcome","Morality"
"R_2YVCOUZc8CMtApb","MIB",3,4,"Ignorance","Bad Outcome","Morality"
"R_xz1atBjzqASxMQx","MIB",6,4,"Ignorance","Bad Outcome","Morality"
"R_3MmM3XBJgTiSVic","MIB",5,4,"Ignorance","Bad Outcome","Morality"
"R_1duVPQxVjrpg2Hr","MIB",7,4,"Ignorance","Bad Outcome","Morality"
"R_3NxLMGW5vurbIqk","MIB",6,4,"Ignorance","Bad Outcome","Morality"
"R_3OpHzuhAyWXFHjj","MIB",2,4,"Ignorance","Bad Outcome","Morality"
"R_29mlIvWykbwXCnM","MIB",5,4,"Ignorance","Bad Outcome","Morality"
"R_ah0IF43LPgzk95D","MIB",4,4,"Ignorance","Bad Outcome","Morality"
"R_1Gy4qLlgNT8TLyi","MIB",3,4,"Ignorance","Bad Outcome","Morality"
"R_3kp02971JVVc840","MIB",2,4,"Ignorance","Bad Outcome","Morality"
"R_1N47ZfTDzalYlzj","MIB",7,4,"Ignorance","Bad Outcome","Morality"
"R_DNtis0P6aD6JcPL","MIB",7,4,"Ignorance","Bad Outcome","Morality"
"R_3en13rtohCNzfdm","MIB",1,4,"Ignorance","Bad Outcome","Morality"
"R_123Y1lNiyTGvkuR","MIB",4,4,"Ignorance","Bad Outcome","Morality"
"R_3kLqcMug76KzX1f","MIB",3,4,"Ignorance","Bad Outcome","Morality"
"R_2OHF0g0x8vRHkKm","MIB",6,4,"Ignorance","Bad Outcome","Morality"
"R_2t9Y0p92WF9V0y8","MIB",7,4,"Ignorance","Bad Outcome","Morality"
"R_1GZC3KjYRqvoYBs","MIB",4,4,"Ignorance","Bad Outcome","Morality"
"R_2cvLdveHqFapOLD","MIB",6,4,"Ignorance","Bad Outcome","Morality"
"R_3Rr6tgrjeAz00bP","MIB",7,4,"Ignorance","Bad Outcome","Morality"
"R_9MmObpWUX0vXmxT","MIB",6,4,"Ignorance","Bad Outcome","Morality"
"R_3im54uYdtSp6K75","MIB",1,4,"Ignorance","Bad Outcome","Morality"
"R_qRb7sqzinDRS86Z","MIB",4,4,"Ignorance","Bad Outcome","Morality"
"R_2xPPT68ZD2cCdCh","MIB",4,4,"Ignorance","Bad Outcome","Morality"
"R_12AaHsymVF0r3kD","MIB",7,5,"Ignorance","Bad Outcome","Morality"
"R_6f1F85QWuN84dqh","MIB",5,5,"Ignorance","Bad Outcome","Morality"
"R_2QhMoGlC9lopDQi","MIB",6,5,"Ignorance","Bad Outcome","Morality"
"R_2SGlBy7b05SaXmr","MIB",4,5,"Ignorance","Bad Outcome","Morality"
"R_1OxBc5JRpdsUWJI","MIB",3,5,"Ignorance","Bad Outcome","Morality"
"R_31ivQ3pcdPTpctX","MIB",7,5,"Ignorance","Bad Outcome","Morality"
