"subj","question","condition","response","vign","knowledge","outcome","norm"
"R_RWZqZe6IB87Zd1n","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_oXeMJqMvHYpgfdv","moral","RKB",4,3,"Knowledge","Bad Outcome","Rationality"
"R_3MQgazHr2PORZoF","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_O9l03sKDyYPQR1L","moral","RKB",4,3,"Knowledge","Bad Outcome","Rationality"
"R_8doNoWWh9PSxA8p","moral","RKB",4,3,"Knowledge","Bad Outcome","Rationality"
"R_2TUhjcLKKYyUSyK","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_2EjjvYLoRIIqCBq","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_3F1YRwgzM61Qw4H","moral","RKB",6,3,"Knowledge","Bad Outcome","Rationality"
"R_UMFIGTr6BLH2Qal","moral","RKB",7,3,"Knowledge","Bad Outcome","Rationality"
"R_3dEoUSu6qECFvKn","moral","RKB",4,3,"Knowledge","Bad Outcome","Rationality"
"R_2Qml6F0sgElV2vJ","moral","RKB",2,3,"Knowledge","Bad Outcome","Rationality"
"R_3fcx83rEW5yjiXr","moral","RKB",7,3,"Knowledge","Bad Outcome","Rationality"
"R_129EicnzW5N4gT2","moral","RKB",3,3,"Knowledge","Bad Outcome","Rationality"
"R_1BRbkIKchPFswGs","moral","RKB",5,3,"Knowledge","Bad Outcome","Rationality"
"R_3NO47xvvycbvzBG","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_25MdM1HSJrETCFT","moral","RKB",4,3,"Knowledge","Bad Outcome","Rationality"
"R_6MtqNC0dygQS5I5","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_2eQe2N5vS0VzuL6","moral","RKB",1,3,"Knowledge","Bad Outcome","Rationality"
"R_3NWoJHQmhRAQrD8","moral","RKB",6,3,"Knowledge","Bad Outcome","Rationality"
"R_2RVrFXsvvbJz0Fb","moral","RKB",7,3,"Knowledge","Bad Outcome","Rationality"
"R_3Ge8Mw7q22SmTYJ","moral","RKB",5,3,"Knowledge","Bad Outcome","Rationality"
"R_1I6IiMnHYC4bc9o","moral","RKB",2,3,"Knowledge","Bad Outcome","Rationality"
"R_51rz3Nw8MT2Atfr","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_1gLyO0SlHXS3vKs","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_10CLRuXIHceFlgX","moral","RKB",5,4,"Knowledge","Bad Outcome","Rationality"
"R_w7NViULEpgQxUgp","moral","RKB",6,4,"Knowledge","Bad Outcome","Rationality"
"R_yNJqQLUiI0ZYfpn","moral","RKB",5,4,"Knowledge","Bad Outcome","Rationality"
"R_3qHyb5ZjhcoXpSg","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_3lrehgvkjdSEPDj","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_3OoVv24Xf5rxDmf","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_ClWAQE2QWEXK665","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_2Qml6F0sgElV2vJ","moral","RKB",3,4,"Knowledge","Bad Outcome","Rationality"
"R_2Vrym3e2jMG6h2B","moral","RKB",2,4,"Knowledge","Bad Outcome","Rationality"
"R_2U9I3DclKD2Xixl","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_3po36aIE81qzB29","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_7OFtXJlSTRWI8fL","moral","RKB",4,4,"Knowledge","Bad Outcome","Rationality"
"R_12FH9deST9sEEEp","moral","RKB",6,4,"Knowledge","Bad Outcome","Rationality"
"R_2CeVYP92B8J9CBa","moral","RKB",3,4,"Knowledge","Bad Outcome","Rationality"
"R_2c1T9PYxBKcBRzv","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_3oWU5TTzkXOT60i","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_12liuamNAMTTASg","moral","RKB",3,4,"Knowledge","Bad Outcome","Rationality"
"R_3FJanM7CPcs2uDz","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_2thE9cXB0Rrflqr","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_2rDypkftVvoLaqc","moral","RKB",1,4,"Knowledge","Bad Outcome","Rationality"
"R_w1yiYligPGlVtMR","moral","RKB",4,4,"Knowledge","Bad Outcome","Rationality"
"R_vTd8rCHIaU7oJTr","moral","RKB",4,4,"Knowledge","Bad Outcome","Rationality"
"R_1gLyO0SlHXS3vKs","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_3gYMp48vyvxcl3v","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_3MQgazHr2PORZoF","moral","RKB",2,5,"Knowledge","Bad Outcome","Rationality"
"R_becyCsTdXEcUuU9","moral","RKB",6,5,"Knowledge","Bad Outcome","Rationality"
"R_qQIhaR6uiDnK1vH","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_2EjjvYLoRIIqCBq","moral","RKB",1,5,"Knowledge","Bad Outcome","Rationality"
"R_3F1YRwgzM61Qw4H","moral","RKB",3,5,"Knowledge","Bad Outcome","Rationality"
"R_3OcVOM5Ujy545zh","moral","RKB",6,5,"Knowledge","Bad Outcome","Rationality"
"R_3j2911pazmJqBQY","moral","RKB",1,5,"Knowledge","Bad Outcome","Rationality"
"R_PA6KpxrYWZ5Jo4N","moral","RKB",2,5,"Knowledge","Bad Outcome","Rationality"
"R_1K9ENKGtHpJ9WqV","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_3OoVv24Xf5rxDmf","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_DePtS0yjSvFotVv","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_1qW17ExgKE43t1L","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_2U9I3DclKD2Xixl","moral","RKB",5,5,"Knowledge","Bad Outcome","Rationality"
"R_1QF5ePps1pJim3v","moral","RKB",1,5,"Knowledge","Bad Outcome","Rationality"
"R_25MdM1HSJrETCFT","moral","RKB",3,5,"Knowledge","Bad Outcome","Rationality"
"R_1dpjiMmu9NBeCCN","moral","RKB",4,5,"Knowledge","Bad Outcome","Rationality"
"R_6MtqNC0dygQS5I5","moral","RKB",7,5,"Knowledge","Bad Outcome","Rationality"
"R_Z3iaM83FxKdnKz7","moral","RKB",5,5,"Knowledge","Bad Outcome","Rationality"
"R_1ig7ZAwQVlqA8k6","moral","RKB",6,5,"Knowledge","Bad Outcome","Rationality"
"R_2thE9cXB0Rrflqr","moral","RKB",2,5,"Knowledge","Bad Outcome","Rationality"
"R_1I6IiMnHYC4bc9o","moral","RKB",1,5,"Knowledge","Bad Outcome","Rationality"
"R_1GTFKbJ96SZThf1","moral","RKB",6,5,"Knowledge","Bad Outcome","Rationality"
"R_2BaE06eFVQCbqBt","moral","RKB",6,6,"Knowledge","Bad Outcome","Rationality"
"R_3dEacrXEDPu37re","moral","RKB",5,6,"Knowledge","Bad Outcome","Rationality"
"R_3sslnUcV4zywwDd","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_3lQv6eHNRtQbYl7","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_2EjjvYLoRIIqCBq","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_1jTIkuunUX6Tldu","moral","RKB",5,6,"Knowledge","Bad Outcome","Rationality"
"R_3OcVOM5Ujy545zh","moral","RKB",5,6,"Knowledge","Bad Outcome","Rationality"
"R_3j2911pazmJqBQY","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_1HqI9csHbUabml7","moral","RKB",2,6,"Knowledge","Bad Outcome","Rationality"
"R_3lrehgvkjdSEPDj","moral","RKB",5,6,"Knowledge","Bad Outcome","Rationality"
"R_3NOQ3IKgQO0M7m2","moral","RKB",2,6,"Knowledge","Bad Outcome","Rationality"
"R_3rJ51T2ruwNbfAU","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_DACCM9pOMf2C9l7","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_2Vrym3e2jMG6h2B","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_1QF5ePps1pJim3v","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_3NO47xvvycbvzBG","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_3lYPAV0pVf3w6cC","moral","RKB",2,6,"Knowledge","Bad Outcome","Rationality"
"R_2c1T9PYxBKcBRzv","moral","RKB",5,6,"Knowledge","Bad Outcome","Rationality"
"R_12Eh3iGCcCjMa1a","moral","RKB",3,6,"Knowledge","Bad Outcome","Rationality"
"R_3h4nff7B6R88rHr","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_2xKtmkxYUNToyYr","moral","RKB",3,6,"Knowledge","Bad Outcome","Rationality"
"R_3pc2SajQMwMp0iD","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_2BhahPgfSz2lD66","moral","RKB",1,6,"Knowledge","Bad Outcome","Rationality"
"R_2BaE06eFVQCbqBt","moral","RKB",2,7,"Knowledge","Bad Outcome","Rationality"
"R_2tySeP3a0nvlDMn","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_3sslnUcV4zywwDd","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_vSwTWM7OPbELGtX","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_UGUiTpKFBX58nqV","moral","RKB",3,7,"Knowledge","Bad Outcome","Rationality"
"R_becyCsTdXEcUuU9","moral","RKB",2,7,"Knowledge","Bad Outcome","Rationality"
"R_2EjjvYLoRIIqCBq","moral","RKB",4,7,"Knowledge","Bad Outcome","Rationality"
"R_2dLOdsJqKhVH80Q","moral","RKB",1,7,"Knowledge","Bad Outcome","Rationality"
"R_1nUCbhkBuDSPQZb","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_1q9FXqVDkncqZdx","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_3nfrl4lwiRmjrbK","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_3hgRQu2g3Pz7B5B","moral","RKB",4,7,"Knowledge","Bad Outcome","Rationality"
"R_3NOQ3IKgQO0M7m2","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_07YMsQv4tVac8MN","moral","RKB",5,7,"Knowledge","Bad Outcome","Rationality"
"R_3rJ51T2ruwNbfAU","moral","RKB",5,7,"Knowledge","Bad Outcome","Rationality"
"R_DePtS0yjSvFotVv","moral","RKB",2,7,"Knowledge","Bad Outcome","Rationality"
"R_1qW17ExgKE43t1L","moral","RKB",3,7,"Knowledge","Bad Outcome","Rationality"
"R_2U9I3DclKD2Xixl","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_1QF5ePps1pJim3v","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_1BRbkIKchPFswGs","moral","RKB",3,7,"Knowledge","Bad Outcome","Rationality"
"R_6MtqNC0dygQS5I5","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_27dPUMh2YsN8tL8","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_1DGAWWMOjztPDSV","moral","RKB",7,7,"Knowledge","Bad Outcome","Rationality"
"R_3IWhbP0bgUtdAHa","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_vTd8rCHIaU7oJTr","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_1GTFKbJ96SZThf1","moral","RKB",6,7,"Knowledge","Bad Outcome","Rationality"
"R_2BaE06eFVQCbqBt","moral","RKB",3,8,"Knowledge","Bad Outcome","Rationality"
"R_51rz3Nw8MT2Atfr","moral","RKB",7,8,"Knowledge","Bad Outcome","Rationality"
"R_1JOXv2iKeD2CTH6","moral","RKB",5,8,"Knowledge","Bad Outcome","Rationality"
"R_1owpLqAhomJbqLA","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_31SGa7E11qtYGmd","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_RWZqZe6IB87Zd1n","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_oXeMJqMvHYpgfdv","moral","RKB",4,8,"Knowledge","Bad Outcome","Rationality"
"R_becyCsTdXEcUuU9","moral","RKB",5,8,"Knowledge","Bad Outcome","Rationality"
"R_UMFIGTr6BLH2Qal","moral","RKB",4,8,"Knowledge","Bad Outcome","Rationality"
"R_11YiJHgplnC6tFv","moral","RKB",3,8,"Knowledge","Bad Outcome","Rationality"
"R_PA6KpxrYWZ5Jo4N","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_3lrehgvkjdSEPDj","moral","RKB",3,8,"Knowledge","Bad Outcome","Rationality"
"R_3OoVv24Xf5rxDmf","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_3hgRQu2g3Pz7B5B","moral","RKB",7,8,"Knowledge","Bad Outcome","Rationality"
"R_2wRFEXEXwSLe24f","moral","RKB",5,8,"Knowledge","Bad Outcome","Rationality"
"R_2tqURiLTFn9WlHP","moral","RKB",6,8,"Knowledge","Bad Outcome","Rationality"
"R_7OFtXJlSTRWI8fL","moral","RKB",2,8,"Knowledge","Bad Outcome","Rationality"
"R_3GfyJpTBwVugnJb","moral","RKB",7,8,"Knowledge","Bad Outcome","Rationality"
"R_25MdM1HSJrETCFT","moral","RKB",5,8,"Knowledge","Bad Outcome","Rationality"
"R_01bV1iz8tBW0JP3","moral","RKB",4,8,"Knowledge","Bad Outcome","Rationality"
"R_Z3iaM83FxKdnKz7","moral","RKB",5,8,"Knowledge","Bad Outcome","Rationality"
"R_2eQe2N5vS0VzuL6","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_2e2N00EI0ckZAA6","moral","RKB",5,8,"Knowledge","Bad Outcome","Rationality"
"R_29vl5hKOgc7nM6t","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_3hbCIAeeJzdgmjJ","moral","RKB",1,8,"Knowledge","Bad Outcome","Rationality"
"R_77YMSCwDHQBtynf","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_1owpLqAhomJbqLA","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_3Gj34JHw1lpXmi9","moral","RKB",6,9,"Knowledge","Bad Outcome","Rationality"
"R_UGUiTpKFBX58nqV","moral","RKB",2,9,"Knowledge","Bad Outcome","Rationality"
"R_qQIhaR6uiDnK1vH","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_3lQv6eHNRtQbYl7","moral","RKB",1,9,"Knowledge","Bad Outcome","Rationality"
"R_1jTIkuunUX6Tldu","moral","RKB",5,9,"Knowledge","Bad Outcome","Rationality"
"R_3rJmHS6AcVh0mA5","moral","RKB",7,9,"Knowledge","Bad Outcome","Rationality"
"R_2dLOdsJqKhVH80Q","moral","RKB",1,9,"Knowledge","Bad Outcome","Rationality"
"R_2AYi3BxnEZfqpZK","moral","RKB",1,9,"Knowledge","Bad Outcome","Rationality"
"R_1HqI9csHbUabml7","moral","RKB",5,9,"Knowledge","Bad Outcome","Rationality"
"R_3NOQ3IKgQO0M7m2","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_07YMsQv4tVac8MN","moral","RKB",2,9,"Knowledge","Bad Outcome","Rationality"
"R_XsNe3Zd1DVl1Dq1","moral","RKB",7,9,"Knowledge","Bad Outcome","Rationality"
"R_1rNABCQLfGsabgC","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_1mpYMLn3bHMBNJ6","moral","RKB",5,9,"Knowledge","Bad Outcome","Rationality"
"R_1Nb78sivVT7t6j4","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_3RflkQJbqZ9BSFA","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_01bV1iz8tBW0JP3","moral","RKB",5,9,"Knowledge","Bad Outcome","Rationality"
"R_Z3iaM83FxKdnKz7","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_26bVztdvcmp8BFF","moral","RKB",2,9,"Knowledge","Bad Outcome","Rationality"
"R_1n6LaBHx5MNpBYY","moral","RKB",1,9,"Knowledge","Bad Outcome","Rationality"
"R_2thE9cXB0Rrflqr","moral","RKB",2,9,"Knowledge","Bad Outcome","Rationality"
"R_8filTUw4nwyQyat","moral","RKB",3,9,"Knowledge","Bad Outcome","Rationality"
"R_1I6IiMnHYC4bc9o","moral","RKB",1,9,"Knowledge","Bad Outcome","Rationality"
"R_2Ytin91h8nvssDV","moral","RKB",5,10,"Knowledge","Bad Outcome","Rationality"
"R_0vU5wieIFCrPRIZ","moral","RKB",3,10,"Knowledge","Bad Outcome","Rationality"
"R_1hSz0Jm1UlkYLv3","moral","RKB",7,10,"Knowledge","Bad Outcome","Rationality"
"R_1f3H1Spo60suIcB","moral","RKB",3,10,"Knowledge","Bad Outcome","Rationality"
"R_oXeMJqMvHYpgfdv","moral","RKB",6,10,"Knowledge","Bad Outcome","Rationality"
"R_2TUhjcLKKYyUSyK","moral","RKB",3,10,"Knowledge","Bad Outcome","Rationality"
"R_1jTIkuunUX6Tldu","moral","RKB",7,10,"Knowledge","Bad Outcome","Rationality"
"R_PMuEbnPTxf87rYR","moral","RKB",5,10,"Knowledge","Bad Outcome","Rationality"
"R_0dIqsoLA4bhUxEJ","moral","RKB",5,10,"Knowledge","Bad Outcome","Rationality"
"R_2rjxr15Kg7PYtwv","moral","RKB",7,10,"Knowledge","Bad Outcome","Rationality"
"R_1JCxB01GB5QpQd7","moral","RKB",4,10,"Knowledge","Bad Outcome","Rationality"
"R_1jfW2S5n2k71h1f","moral","RKB",6,10,"Knowledge","Bad Outcome","Rationality"
"R_3NOQ3IKgQO0M7m2","moral","RKB",5,10,"Knowledge","Bad Outcome","Rationality"
"R_1QF5ePps1pJim3v","moral","RKB",7,10,"Knowledge","Bad Outcome","Rationality"
"R_3po36aIE81qzB29","moral","RKB",4,10,"Knowledge","Bad Outcome","Rationality"
"R_2ygslxE9KKB0U5t","moral","RKB",5,10,"Knowledge","Bad Outcome","Rationality"
"R_3qqfC3A0Yin144U","moral","RKB",6,10,"Knowledge","Bad Outcome","Rationality"
"R_12FH9deST9sEEEp","moral","RKB",7,10,"Knowledge","Bad Outcome","Rationality"
"R_1prGWKRTFrK96cC","moral","RKB",5,10,"Knowledge","Bad Outcome","Rationality"
"R_27wHjTGw5QIVd3S","moral","RKB",4,10,"Knowledge","Bad Outcome","Rationality"
"R_3NWoJHQmhRAQrD8","moral","RKB",7,10,"Knowledge","Bad Outcome","Rationality"
"R_2RVrFXsvvbJz0Fb","moral","RKB",2,10,"Knowledge","Bad Outcome","Rationality"
"R_2BhahPgfSz2lD66","moral","RKB",1,10,"Knowledge","Bad Outcome","Rationality"
"R_0vU5wieIFCrPRIZ","moral","RKB",1,11,"Knowledge","Bad Outcome","Rationality"
"R_1gLyO0SlHXS3vKs","moral","RKB",4,11,"Knowledge","Bad Outcome","Rationality"
"R_1hSz0Jm1UlkYLv3","moral","RKB",4,11,"Knowledge","Bad Outcome","Rationality"
"R_ddtrIMnLNIrCHbX","moral","RKB",7,11,"Knowledge","Bad Outcome","Rationality"
"R_8doNoWWh9PSxA8p","moral","RKB",4,11,"Knowledge","Bad Outcome","Rationality"
"R_3F1YRwgzM61Qw4H","moral","RKB",5,11,"Knowledge","Bad Outcome","Rationality"
"R_UMFIGTr6BLH2Qal","moral","RKB",5,11,"Knowledge","Bad Outcome","Rationality"
"R_PMuEbnPTxf87rYR","moral","RKB",2,11,"Knowledge","Bad Outcome","Rationality"
"R_3EooUhbefzP7wTS","moral","RKB",6,11,"Knowledge","Bad Outcome","Rationality"
"R_3OoVv24Xf5rxDmf","moral","RKB",1,11,"Knowledge","Bad Outcome","Rationality"
"R_1j81MYOOvUb72Zw","moral","RKB",4,11,"Knowledge","Bad Outcome","Rationality"
"R_XXS7n0tnh79dTe9","moral","RKB",5,11,"Knowledge","Bad Outcome","Rationality"
"R_07YMsQv4tVac8MN","moral","RKB",1,11,"Knowledge","Bad Outcome","Rationality"
"R_3fcx83rEW5yjiXr","moral","RKB",5,11,"Knowledge","Bad Outcome","Rationality"
"R_2Vrym3e2jMG6h2B","moral","RKB",2,11,"Knowledge","Bad Outcome","Rationality"
"R_1hZpo9MgTVK15uZ","moral","RKB",7,11,"Knowledge","Bad Outcome","Rationality"
"R_2wRFEXEXwSLe24f","moral","RKB",5,11,"Knowledge","Bad Outcome","Rationality"
"R_1M5TRrMrb71j0vv","moral","RKB",7,11,"Knowledge","Bad Outcome","Rationality"
"R_25MdM1HSJrETCFT","moral","RKB",4,11,"Knowledge","Bad Outcome","Rationality"
"R_2c1T9PYxBKcBRzv","moral","RKB",2,11,"Knowledge","Bad Outcome","Rationality"
"R_1prGWKRTFrK96cC","moral","RKB",2,11,"Knowledge","Bad Outcome","Rationality"
"R_2z6C3H6ziUkTYb4","moral","RKB",5,11,"Knowledge","Bad Outcome","Rationality"
"R_2q4odT6h4hmmx0T","moral","RKB",3,11,"Knowledge","Bad Outcome","Rationality"
"R_26bVztdvcmp8BFF","moral","RKB",1,11,"Knowledge","Bad Outcome","Rationality"
"R_3hbCIAeeJzdgmjJ","moral","RKB",4,11,"Knowledge","Bad Outcome","Rationality"
"R_3m9Ie9DPPLj7XEO","moral","RKB",1,11,"Knowledge","Bad Outcome","Rationality"
"R_2Ytin91h8nvssDV","moral","RKB",4,12,"Knowledge","Bad Outcome","Rationality"
"R_3oMfMZATScx3dLo","moral","RKB",7,12,"Knowledge","Bad Outcome","Rationality"
"R_3Gj34JHw1lpXmi9","moral","RKB",3,12,"Knowledge","Bad Outcome","Rationality"
"R_3fIXTvdzh8oxV1L","moral","RKB",7,12,"Knowledge","Bad Outcome","Rationality"
"R_bdg5rZAzgE1TOMh","moral","RKB",5,12,"Knowledge","Bad Outcome","Rationality"
"R_27eRaPtZVEaHpMy","moral","RKB",6,12,"Knowledge","Bad Outcome","Rationality"
