"ResponseId","condCod","causation response","norm","knowledge","outcome","scenario","condition"
"R_1FgpxZrcDBC7KiF","caus14.RKG","6","Rationality","Knowledge","Normal",14,"RKG"
"R_1FgpxZrcDBC7KiF","caus15.MIB","5","Morality","Ignorance","Abnormal",15,"MIB"
"R_1FgpxZrcDBC7KiF","caus16.RIG","6","Rationality","Ignorance","Normal",16,"RIG"
"R_29bHQQ2oPiTR1HO","caus1.RIG","1","Rationality","Ignorance","Normal",1,"RIG"
"R_29bHQQ2oPiTR1HO","caus2.MKG","1","Morality","Knowledge","Normal",2,"MKG"
"R_29bHQQ2oPiTR1HO","caus3.MIG","1","Morality","Ignorance","Normal",3,"MIG"
"R_29bHQQ2oPiTR1HO","caus4.MIG","1","Morality","Ignorance","Normal",4,"MIG"
"R_29bHQQ2oPiTR1HO","caus5.MIG","1","Morality","Ignorance","Normal",5,"MIG"
"R_29bHQQ2oPiTR1HO","caus6.RIB","1","Rationality","Ignorance","Abnormal",6,"RIB"
"R_29bHQQ2oPiTR1HO","caus7.RIB","7","Rationality","Ignorance","Abnormal",7,"RIB"
"R_29bHQQ2oPiTR1HO","caus8.RKB","1","Rationality","Knowledge","Abnormal",8,"RKB"
"R_29bHQQ2oPiTR1HO","caus9.MKG","1","Morality","Knowledge","Normal",9,"MKG"
"R_29bHQQ2oPiTR1HO","caus10.RIB","1","Rationality","Ignorance","Abnormal",10,"RIB"
"R_29bHQQ2oPiTR1HO","caus11.MKG","1","Morality","Knowledge","Normal",11,"MKG"
"R_29bHQQ2oPiTR1HO","caus12.RIB","1","Rationality","Ignorance","Abnormal",12,"RIB"
"R_29bHQQ2oPiTR1HO","caus13.RKG","7","Rationality","Knowledge","Normal",13,"RKG"
"R_29bHQQ2oPiTR1HO","caus14.MKG","7","Morality","Knowledge","Normal",14,"MKG"
"R_29bHQQ2oPiTR1HO","caus15.MIB","1","Morality","Ignorance","Abnormal",15,"MIB"
"R_29bHQQ2oPiTR1HO","caus16.RIG","7","Rationality","Ignorance","Normal",16,"RIG"
"R_Wf9yO6kOByjRfzj","caus1.RKG","2","Rationality","Knowledge","Normal",1,"RKG"
"R_Wf9yO6kOByjRfzj","caus2.RKG","5","Rationality","Knowledge","Normal",2,"RKG"
"R_Wf9yO6kOByjRfzj","caus3.RKG","5","Rationality","Knowledge","Normal",3,"RKG"
"R_Wf9yO6kOByjRfzj","caus4.RKB","2","Rationality","Knowledge","Abnormal",4,"RKB"
"R_Wf9yO6kOByjRfzj","caus5.RKG","4","Rationality","Knowledge","Normal",5,"RKG"
"R_Wf9yO6kOByjRfzj","caus6.MKG","3","Morality","Knowledge","Normal",6,"MKG"
"R_Wf9yO6kOByjRfzj","caus7.MKG","5","Morality","Knowledge","Normal",7,"MKG"
"R_Wf9yO6kOByjRfzj","caus8.MKB","4","Morality","Knowledge","Abnormal",8,"MKB"
"R_Wf9yO6kOByjRfzj","caus9.MIB","3","Morality","Ignorance","Abnormal",9,"MIB"
"R_Wf9yO6kOByjRfzj","caus10.RIG","5","Rationality","Ignorance","Normal",10,"RIG"
"R_Wf9yO6kOByjRfzj","caus11.RIB","5","Rationality","Ignorance","Abnormal",11,"RIB"
"R_Wf9yO6kOByjRfzj","caus12.MKG","3","Morality","Knowledge","Normal",12,"MKG"
"R_Wf9yO6kOByjRfzj","caus13.MIB","5","Morality","Ignorance","Abnormal",13,"MIB"
"R_Wf9yO6kOByjRfzj","caus14.MKB","4","Morality","Knowledge","Abnormal",14,"MKB"
"R_Wf9yO6kOByjRfzj","caus15.RIG","3","Rationality","Ignorance","Normal",15,"RIG"
"R_Wf9yO6kOByjRfzj","caus16.RKG","2","Rationality","Knowledge","Normal",16,"RKG"
"R_ploi37XR9kuXVSh","caus1.RKB","3","Rationality","Knowledge","Abnormal",1,"RKB"
"R_ploi37XR9kuXVSh","caus2.MKB","5","Morality","Knowledge","Abnormal",2,"MKB"
"R_ploi37XR9kuXVSh","caus3.MIG","1","Morality","Ignorance","Normal",3,"MIG"
"R_ploi37XR9kuXVSh","caus4.RKB","7","Rationality","Knowledge","Abnormal",4,"RKB"
"R_ploi37XR9kuXVSh","caus5.MIG","3","Morality","Ignorance","Normal",5,"MIG"
"R_ploi37XR9kuXVSh","caus6.MIG","5","Morality","Ignorance","Normal",6,"MIG"
"R_ploi37XR9kuXVSh","caus7.MIG.1","7","Morality","Ignorance","Normal",7,"MIG"
"R_ploi37XR9kuXVSh","caus8.MKB","5","Morality","Knowledge","Abnormal",8,"MKB"
"R_ploi37XR9kuXVSh","caus9.MKB","7","Morality","Knowledge","Abnormal",9,"MKB"
"R_ploi37XR9kuXVSh","caus10.RKG","4","Rationality","Knowledge","Normal",10,"RKG"
"R_ploi37XR9kuXVSh","caus11.RKB","5","Rationality","Knowledge","Abnormal",11,"RKB"
"R_ploi37XR9kuXVSh","caus12.MIG","7","Morality","Ignorance","Normal",12,"MIG"
"R_ploi37XR9kuXVSh","caus13.MIG","1","Morality","Ignorance","Normal",13,"MIG"
"R_ploi37XR9kuXVSh","caus14.MKB","7","Morality","Knowledge","Abnormal",14,"MKB"
"R_ploi37XR9kuXVSh","caus15.MKB","7","Morality","Knowledge","Abnormal",15,"MKB"
"R_ploi37XR9kuXVSh","caus16.RIG","6","Rationality","Ignorance","Normal",16,"RIG"
"R_2WYfIWj1j7Eyboc","caus1.RIG","7","Rationality","Ignorance","Normal",1,"RIG"
"R_2WYfIWj1j7Eyboc","caus2.RKG","6","Rationality","Knowledge","Normal",2,"RKG"
"R_2WYfIWj1j7Eyboc","caus3.MKG","7","Morality","Knowledge","Normal",3,"MKG"
"R_2WYfIWj1j7Eyboc","caus4.RIB","6","Rationality","Ignorance","Abnormal",4,"RIB"
"R_2WYfIWj1j7Eyboc","caus5.RIG","6","Rationality","Ignorance","Normal",5,"RIG"
"R_2WYfIWj1j7Eyboc","caus6.RKB","7","Rationality","Knowledge","Abnormal",6,"RKB"
"R_2WYfIWj1j7Eyboc","caus7.RIG","4","Rationality","Ignorance","Normal",7,"RIG"
"R_2WYfIWj1j7Eyboc","caus8.MKG","6","Morality","Knowledge","Normal",8,"MKG"
"R_2WYfIWj1j7Eyboc","caus9.RIB","6","Rationality","Ignorance","Abnormal",9,"RIB"
"R_2WYfIWj1j7Eyboc","caus10.RIG","7","Rationality","Ignorance","Normal",10,"RIG"
"R_2WYfIWj1j7Eyboc","caus11.RIG","7","Rationality","Ignorance","Normal",11,"RIG"
"R_2WYfIWj1j7Eyboc","caus12.RIB","7","Rationality","Ignorance","Abnormal",12,"RIB"
"R_2WYfIWj1j7Eyboc","caus13.MIG","7","Morality","Ignorance","Normal",13,"MIG"
"R_2WYfIWj1j7Eyboc","caus14.MIG","6","Morality","Ignorance","Normal",14,"MIG"
"R_2WYfIWj1j7Eyboc","caus15.RIG","5","Rationality","Ignorance","Normal",15,"RIG"
"R_2WYfIWj1j7Eyboc","caus16.MIB","5","Morality","Ignorance","Abnormal",16,"MIB"
"R_yQtSb1omyXaVzAl","caus1.MIB","4","Morality","Ignorance","Abnormal",1,"MIB"
"R_yQtSb1omyXaVzAl","caus2.MKB","3","Morality","Knowledge","Abnormal",2,"MKB"
"R_yQtSb1omyXaVzAl","caus3.RKB","3","Rationality","Knowledge","Abnormal",3,"RKB"
"R_yQtSb1omyXaVzAl","caus4.RIB","2","Rationality","Ignorance","Abnormal",4,"RIB"
"R_yQtSb1omyXaVzAl","caus5.MKG","3","Morality","Knowledge","Normal",5,"MKG"
"R_yQtSb1omyXaVzAl","caus6.RIB","6","Rationality","Ignorance","Abnormal",6,"RIB"
"R_yQtSb1omyXaVzAl","caus7.MIG","5","Morality","Ignorance","Normal",7,"MIG"
"R_yQtSb1omyXaVzAl","caus8.RIB","4","Rationality","Ignorance","Abnormal",8,"RIB"
"R_yQtSb1omyXaVzAl","caus9.RIB","6","Rationality","Ignorance","Abnormal",9,"RIB"
"R_yQtSb1omyXaVzAl","caus10.RIB","4","Rationality","Ignorance","Abnormal",10,"RIB"
"R_yQtSb1omyXaVzAl","caus11.MIG","4","Morality","Ignorance","Normal",11,"MIG"
"R_yQtSb1omyXaVzAl","caus12.RKB","3","Rationality","Knowledge","Abnormal",12,"RKB"
"R_yQtSb1omyXaVzAl","caus13.RIG","3","Rationality","Ignorance","Normal",13,"RIG"
"R_yQtSb1omyXaVzAl","caus14.MIG","7","Morality","Ignorance","Normal",14,"MIG"
"R_yQtSb1omyXaVzAl","caus15.RIB","2","Rationality","Ignorance","Abnormal",15,"RIB"
"R_yQtSb1omyXaVzAl","caus16.MKG","4","Morality","Knowledge","Normal",16,"MKG"
"R_1dbMCfd0tFgyzGw","caus1.RIG","2","Rationality","Ignorance","Normal",1,"RIG"
"R_1dbMCfd0tFgyzGw","caus2.RKB","7","Rationality","Knowledge","Abnormal",2,"RKB"
"R_1dbMCfd0tFgyzGw","caus3.RIG","4","Rationality","Ignorance","Normal",3,"RIG"
"R_1dbMCfd0tFgyzGw","caus4.MKB","7","Morality","Knowledge","Abnormal",4,"MKB"
"R_1dbMCfd0tFgyzGw","caus5.RKG","4","Rationality","Knowledge","Normal",5,"RKG"
"R_1dbMCfd0tFgyzGw","caus6.MIB","4","Morality","Ignorance","Abnormal",6,"MIB"
"R_1dbMCfd0tFgyzGw","caus7.MKG","7","Morality","Knowledge","Normal",7,"MKG"
"R_1dbMCfd0tFgyzGw","caus8.MIB","4","Morality","Ignorance","Abnormal",8,"MIB"
"R_1dbMCfd0tFgyzGw","caus9.RKB","5","Rationality","Knowledge","Abnormal",9,"RKB"
"R_1dbMCfd0tFgyzGw","caus10.RKB","7","Rationality","Knowledge","Abnormal",10,"RKB"
"R_1dbMCfd0tFgyzGw","caus11.MIB","7","Morality","Ignorance","Abnormal",11,"MIB"
"R_1dbMCfd0tFgyzGw","caus12.RIB","3","Rationality","Ignorance","Abnormal",12,"RIB"
"R_1dbMCfd0tFgyzGw","caus13.MKG","4","Morality","Knowledge","Normal",13,"MKG"
"R_1dbMCfd0tFgyzGw","caus14.RIG","6","Rationality","Ignorance","Normal",14,"RIG"
"R_1dbMCfd0tFgyzGw","caus15.MKB","7","Morality","Knowledge","Abnormal",15,"MKB"
"R_1dbMCfd0tFgyzGw","caus16.MIG","4","Morality","Ignorance","Normal",16,"MIG"
"R_2tFow6WZdXNL5v7","caus1.RKG","7","Rationality","Knowledge","Normal",1,"RKG"
"R_2tFow6WZdXNL5v7","caus2.RKG","3","Rationality","Knowledge","Normal",2,"RKG"
"R_2tFow6WZdXNL5v7","caus3.RIG","5","Rationality","Ignorance","Normal",3,"RIG"
"R_2tFow6WZdXNL5v7","caus4.RIG","5","Rationality","Ignorance","Normal",4,"RIG"
"R_2tFow6WZdXNL5v7","caus5.RIG","5","Rationality","Ignorance","Normal",5,"RIG"
"R_2tFow6WZdXNL5v7","caus6.MKG","5","Morality","Knowledge","Normal",6,"MKG"
"R_2tFow6WZdXNL5v7","caus7.MKB","6","Morality","Knowledge","Abnormal",7,"MKB"
"R_2tFow6WZdXNL5v7","caus8.RKG","6","Rationality","Knowledge","Normal",8,"RKG"
"R_2tFow6WZdXNL5v7","caus9.MIB","5","Morality","Ignorance","Abnormal",9,"MIB"
"R_2tFow6WZdXNL5v7","caus10.RKB","2","Rationality","Knowledge","Abnormal",10,"RKB"
"R_2tFow6WZdXNL5v7","caus11.MIB","5","Morality","Ignorance","Abnormal",11,"MIB"
"R_2tFow6WZdXNL5v7","caus12.MKG","4","Morality","Knowledge","Normal",12,"MKG"
"R_2tFow6WZdXNL5v7","caus13.RKB","4","Rationality","Knowledge","Abnormal",13,"RKB"
"R_2tFow6WZdXNL5v7","caus14.RKB","6","Rationality","Knowledge","Abnormal",14,"RKB"
"R_2tFow6WZdXNL5v7","caus15.RIG","5","Rationality","Ignorance","Normal",15,"RIG"
"R_2tFow6WZdXNL5v7","caus16.MKG","5","Morality","Knowledge","Normal",16,"MKG"
"R_uyp37cmhjFrwrBv","caus1.MIB","7","Morality","Ignorance","Abnormal",1,"MIB"
"R_uyp37cmhjFrwrBv","caus2.MIB","7","Morality","Ignorance","Abnormal",2,"MIB"
"R_uyp37cmhjFrwrBv","caus3.MKB","7","Morality","Knowledge","Abnormal",3,"MKB"
"R_uyp37cmhjFrwrBv","caus4.MKG","1","Morality","Knowledge","Normal",4,"MKG"
"R_uyp37cmhjFrwrBv","caus5.RIB","7","Rationality","Ignorance","Abnormal",5,"RIB"
"R_uyp37cmhjFrwrBv","caus6.RKG","5","Rationality","Knowledge","Normal",6,"RKG"
"R_uyp37cmhjFrwrBv","caus7.RIG","7","Rationality","Ignorance","Normal",7,"RIG"
"R_uyp37cmhjFrwrBv","caus8.MKB","7","Morality","Knowledge","Abnormal",8,"MKB"
"R_uyp37cmhjFrwrBv","caus9.RIG","6","Rationality","Ignorance","Normal",9,"RIG"
"R_uyp37cmhjFrwrBv","caus10.MIG","1","Morality","Ignorance","Normal",10,"MIG"
"R_uyp37cmhjFrwrBv","caus11.MKB","7","Morality","Knowledge","Abnormal",11,"MKB"
"R_uyp37cmhjFrwrBv","caus12.RIB","5","Rationality","Ignorance","Abnormal",12,"RIB"
"R_uyp37cmhjFrwrBv","caus13.MKB","7","Morality","Knowledge","Abnormal",13,"MKB"
"R_uyp37cmhjFrwrBv","caus14.RIB","4","Rationality","Ignorance","Abnormal",14,"RIB"
"R_uyp37cmhjFrwrBv","caus15.RIB","7","Rationality","Ignorance","Abnormal",15,"RIB"
"R_uyp37cmhjFrwrBv","caus16.MIG","1","Morality","Ignorance","Normal",16,"MIG"
"R_6sqhg90xvrPK4QJ","caus1.RKG","4","Rationality","Knowledge","Normal",1,"RKG"
"R_6sqhg90xvrPK4QJ","caus2.MKB","4","Morality","Knowledge","Abnormal",2,"MKB"
"R_6sqhg90xvrPK4QJ","caus3.MIG","1","Morality","Ignorance","Normal",3,"MIG"
"R_6sqhg90xvrPK4QJ","caus4.RIG","1","Rationality","Ignorance","Normal",4,"RIG"
"R_6sqhg90xvrPK4QJ","caus5.RIB","2","Rationality","Ignorance","Abnormal",5,"RIB"
"R_6sqhg90xvrPK4QJ","caus6.RKB","3","Rationality","Knowledge","Abnormal",6,"RKB"
"R_6sqhg90xvrPK4QJ","caus7.RKG","4","Rationality","Knowledge","Normal",7,"RKG"
"R_6sqhg90xvrPK4QJ","caus8.RKG","2","Rationality","Knowledge","Normal",8,"RKG"
"R_6sqhg90xvrPK4QJ","caus9.RIB","4","Rationality","Ignorance","Abnormal",9,"RIB"
"R_6sqhg90xvrPK4QJ","caus10.MKB","2","Morality","Knowledge","Abnormal",10,"MKB"
"R_6sqhg90xvrPK4QJ","caus11.MKB","4","Morality","Knowledge","Abnormal",11,"MKB"
"R_6sqhg90xvrPK4QJ","caus12.MIG","1","Morality","Ignorance","Normal",12,"MIG"
"R_6sqhg90xvrPK4QJ","caus13.RKG","4","Rationality","Knowledge","Normal",13,"RKG"
"R_6sqhg90xvrPK4QJ","caus14.RIB","5","Rationality","Ignorance","Abnormal",14,"RIB"
"R_6sqhg90xvrPK4QJ","caus15.RKB","3","Rationality","Knowledge","Abnormal",15,"RKB"
"R_6sqhg90xvrPK4QJ","caus16.MKG","1","Morality","Knowledge","Normal",16,"MKG"
"R_2SlgBAOTUJwmdMm","caus1.MIB","6","Morality","Ignorance","Abnormal",1,"MIB"
"R_2SlgBAOTUJwmdMm","caus2.RKB","6","Rationality","Knowledge","Abnormal",2,"RKB"
"R_2SlgBAOTUJwmdMm","caus3.MIG","4","Morality","Ignorance","Normal",3,"MIG"
"R_2SlgBAOTUJwmdMm","caus4.MIB","3","Morality","Ignorance","Abnormal",4,"MIB"
"R_2SlgBAOTUJwmdMm","caus5.MKB","3","Morality","Knowledge","Abnormal",5,"MKB"
"R_2SlgBAOTUJwmdMm","caus6.MKG","5","Morality","Knowledge","Normal",6,"MKG"
"R_2SlgBAOTUJwmdMm","caus7.MIG.1","3","Morality","Ignorance","Normal",7,"MIG"
"R_2SlgBAOTUJwmdMm","caus8.MIB","1","Morality","Ignorance","Abnormal",8,"MIB"
"R_2SlgBAOTUJwmdMm","caus9.RIG","4","Rationality","Ignorance","Normal",9,"RIG"
"R_2SlgBAOTUJwmdMm","caus10.RIG","6","Rationality","Ignorance","Normal",10,"RIG"
"R_2SlgBAOTUJwmdMm","caus11.RKB","6","Rationality","Knowledge","Abnormal",11,"RKB"
"R_2SlgBAOTUJwmdMm","caus12.MKG","6","Morality","Knowledge","Normal",12,"MKG"
"R_2SlgBAOTUJwmdMm","caus13.RIB","4","Rationality","Ignorance","Abnormal",13,"RIB"
"R_2SlgBAOTUJwmdMm","caus14.RKB","6","Rationality","Knowledge","Abnormal",14,"RKB"
"R_2SlgBAOTUJwmdMm","caus15.RIB","2","Rationality","Ignorance","Abnormal",15,"RIB"
"R_2SlgBAOTUJwmdMm","caus16.RIB","5","Rationality","Ignorance","Abnormal",16,"RIB"
"R_2XhV22aSIfhzE2M","caus1.MKG","6","Morality","Knowledge","Normal",1,"MKG"
"R_2XhV22aSIfhzE2M","caus2.MIG","4","Morality","Ignorance","Normal",2,"MIG"
"R_2XhV22aSIfhzE2M","caus3.RIG","5","Rationality","Ignorance","Normal",3,"RIG"
"R_2XhV22aSIfhzE2M","caus4.MIG","2","Morality","Ignorance","Normal",4,"MIG"
"R_2XhV22aSIfhzE2M","caus5.RKB","2","Rationality","Knowledge","Abnormal",5,"RKB"
"R_2XhV22aSIfhzE2M","caus6.MKG","5","Morality","Knowledge","Normal",6,"MKG"
"R_2XhV22aSIfhzE2M","caus7.RIG","3","Rationality","Ignorance","Normal",7,"RIG"
"R_2XhV22aSIfhzE2M","caus8.RIB","4","Rationality","Ignorance","Abnormal",8,"RIB"
"R_2XhV22aSIfhzE2M","caus9.MKB","5","Morality","Knowledge","Abnormal",9,"MKB"
"R_2XhV22aSIfhzE2M","caus10.MKB","2","Morality","Knowledge","Abnormal",10,"MKB"
"R_2XhV22aSIfhzE2M","caus11.MKB","5","Morality","Knowledge","Abnormal",11,"MKB"
"R_2XhV22aSIfhzE2M","caus12.MIG","2","Morality","Ignorance","Normal",12,"MIG"
"R_2XhV22aSIfhzE2M","caus13.MIB","4","Morality","Ignorance","Abnormal",13,"MIB"
