id,age,gender,ethn,edu,ses
R_2VO6tEjBWzxv1qT,29,1,5,2,9
R_2VIONkeZj0Of7gg,34,1,2,6,6
R_22FYijS5cRyDKVy,24,2,3,4,7
R_3PFuM7kKwr4wb0y,30,2,1,4,7
R_1obgbdW7tDbvzdC,35,1,3,5,8
R_XHvdAnwym6hCVMJ,63,2,5,5,8
R_1dmZuqwrIfB4Fqb,36,1,5,6,5
R_2QG9fymIn9yjMYO,37,1,1,5,8
R_2usJKYN2fxmGaqr,20,1,3,2,9
R_2V3ZEbsGB7I5t58,31,2,5,3,8
R_3k0PhdHRzw8dgKw,28,2,5,4,7
R_24FLYlYvRP1AiOM,34,2,2,6,8
R_3jThMPE7sc03Kux,40,2,5,4,6
R_DCDcKKNtVabs0gx,61,2,5,2,7
R_2Wv8WsI5IyNGn8s,29,1,3,5,6
R_ugl7EIQljfxUwFP,32,1,5,5,5
R_2fpSRZUNqmFvZ13,27,1,2,4,4
R_2U4L3NLbOTnuxxB,28,2,3,5,8
R_4ZP6AOr2gTGNbJ7,48,1,5,4,9
R_3fTcfMmuGswY4dz,25,1,5,5,6
R_O3yEhxg1BHcbi9j,48,1,5,4,10
R_3fjXJiVog897OTE,30,2,5,5,5
R_1rJFYYnm1Llcp2n,29,1,3,5,7
R_eIDGsOtzwTFr2ox,21,2,5,3,10
R_3fldJZ2PizyODxX,35,2,1,5,7
R_ZfrM1AHstfjRe0N,39,1,5,3,9
R_C2JjFzpEIeyXnPj,28,1,5,2,8
R_D8guIEc06taGiEF,29,1,3,5,6
R_3Dd1dIpubB6TP2e,31,1,3,6,2
R_3oAy4hgXJ1P6spF,35,1,5,2,9
R_yUwJZsL0gpE2Ndn,29,1,5,2,7
R_2q7QWLHOYQzMrIR,34,1,1,2,5
R_6zD9vdwQaQVvfM1,22,2,1,4,7
R_3G9fT546ey96hrQ,32,1,5,5,8
R_prARRf5YMvhEwEN,28,2,3,4,8
R_3l8Uvxkomb3yHLD,33,1,5,3,8
R_etyun6P1xxEsVK9,33,1,5,6,10
R_yHGcsELkjw1rNn3,26,2,5,4,8
R_1M65CVtuebXn6KR,26,1,5,5,5
R_2BtFCeJEWbCnCXh,58,2,5,3,7
R_BLfHJ8b0SWYJPsB,37,1,5,6,4
R_BMt6NhCDEuBcRs5,39,1,5,4,5
R_2dRscYaUyAC220V,23,2,2,2,7
R_1f9sVj8oK22Kn7n,35,2,5,5,5
R_2S2duEBgZlNcO3q,35,2,3,4,8
R_1F32BFpAyAFvVro,21,1,6,4,4
R_3Hiy3lnGOyNOIQK,2,2,5,5,2
R_2ggAwkWBQKkDcKR,57,1,5,2,6
R_2xxRJrZryENyNCC,59,2,1,5,8
R_3PSPuAjXOGLT0n7,25,2,5,4,9
R_26hgMm9B09Xe7Wk,57,2,5,2,8
R_3JL7cqJFJtMQMZM,18,2,1,4,
R_OBSlSrQ1Id9FADD,24,1,5,5,7
R_23d8E2wMMxSEzHE,30,2,5,5,8
R_exMaNqVuVMuKyxr,24,1,5,4,9
R_8owwVaLumTS8iPj,51,2,5,5,4
R_3PhSp43NynPctZK,27,1,5,5,8
R_12o3n1C1uCFnbTk,30,1,1,4,9
R_2VL6GKOrGVSHBg4,30,2,5,4,6
R_2fGN17Nm7L4fHU8,33,2,5,2,6
R_1qerst5YIleBPLi,30,2,5,6,4
R_7PAgh6QKf38Ods5,58,2,5,2,6
R_2YgEHZER2KaSsJs,27,2,5,3,9
R_3fkl3wT610dOBrJ,27,1,5,5,3
R_214WjB6MJaAGLKJ,24,1,5,2,7
R_3fkNpAQgLjHI1iL,22,2,5,4,1
R_2ON2AB8H3OpSKm8,34,2,2,5,4
R_3kn8tL3JGGHyzPi,42,2,5,5,7
R_2QPuvmtMknIENPl,27,2,5,5,5
R_3rIqCSFrAsZ7u4d,27,1,5,4,8
R_1Q3Y3griXe3qHnc,27,2,5,5,8
R_eWIqwZTxAKgzSwh,30,1,5,5,4
R_cGFhb2noJ7lS94R,26,1,3,5,10
R_3kpDHCggGacuKmR,30,1,5,4,3
R_AAKD1XRCjIozCxj,30,2,5,6,3
R_2rwiUa7MJbiTWi5,35,2,5,2,6
R_2qra0hlauy54r9I,57,2,3,5,6
R_1kHLS3K1DMUPZSn,29,1,5,2,5
R_12s5VWgPdrearCX,28,1,5,5,7
R_1N35cRRGR4E3uLI,29,2,1,2,8
R_2dpggEjUZx1i0w8,28,2,5,3,5
R_2t9Tv7OY1RP1Mmg,28,2,3,4,6
R_2ZNteU1WE2bmHFL,28,1,5,5,8
R_1o0urljC4DDcDmD,29,1,1,5,7
R_YbLDHwJDAH3MVvr,38,2,5,5,5
R_1EhPsVv4ttckcIz,28,1,5,5,8
R_9QuuwMPT5qU2Dbr,31,2,6,4,6
R_3KrrhQHv5txRxqF,32,1,3,5,4
R_UKKZXBCkHsL6wAp,29,1,2,4,8
R_3RsXKaNWUT7TiBF,36,1,5,5,6
R_3MR6ex9DPkGVXBn,34,1,5,6,8
R_1dixcU1N1oMboCG,27,2,1,5,6
R_2ZHMzvy2HuSkU0r,56,2,5,5,6
R_cAPmADXRHOXztSN,39,1,5,4,3
R_6gUOzZ0mgs7Cf5v,23,2,5,4,6
R_oY7WzPlSWPY0OQh,32,1,5,5,6
R_9HwOwrBwwMbajYt,40,2,5,4,5
R_3gMEpLBVaR2xDe1,30,1,1,5,9
R_1FVmEUPZ3Mf74Gt,25,1,5,5,6
R_vUorWU9Ixigf8Qh,39,1,5,2,7
R_2OI8rHDtYUfbZAM,24,2,5,2,6
R_3NUQ32EkN6ROPNY,26,2,1,5,6
R_3rYv2fNPGChgnD4,34,2,3,6,5
R_3n6O7b7j1buyDz1,27,2,5,5,9
R_1HcTQSsle1b5W9Z,23,1,5,5,6
R_RJfOs15S5slmYVP,71,1,5,4,8
R_1eEJStFdisOROjv,25,1,5,5,1
R_3j7OCKG1TXGVyzG,47,1,5,6,7
R_eaICbnGbjkrIJY5,35,1,4,2,6
R_1FxKPezsZbnBuFk,30,1,5,4,8
R_WkQH6Sb65YbogTf,36,2,3,5,6
R_2WPufpDRY0mEsNf,41,2,5,5,8
R_3nUYaOw2h71wunw,25,2,1,5,7
R_2tb2YKd4hPKb0Ty,33,2,5,5,8
R_aXdVb1OyOWNelcR,33,1,1,2,8
R_819BvjnOuczUrzv,54,2,5,4,7
R_Pvs9Ob5kC8WRNkZ,28,2,5,4,9
R_e3ukhtSJpqQF9Id,30,2,5,5,4
R_6xOgjjY4VZFZes9,25,2,5,5,6
R_1r6YGajmAYrZrcm,20,2,5,4,9
R_1dlU4Sc5IEBdAhw,34,1,5,2,9
R_2UYM4PSbiyJmjkh,64,2,5,5,6
R_3elmQ52YbmHk9gZ,28,1,2,3,6
R_z0uRN61qIEUuR3P,38,1,5,4,7
R_2D8Kf7hPRFbrmV4,36,1,5,4,6
